simulation,wins,losses,actual_win_rate,final_capital,total_return,max_drawdown,max_losing_streak,profitable
174,432,368,0.54,13944.993348534204,0.3944993348534205,-0.18509365353121487,8,True
175,437,363,0.54625,15742.116874495809,0.5742116874495808,-0.1939015091876859,11,True
176,423,377,0.52875,11211.34284872871,0.12113428487287092,-0.18999031716089287,8,True
177,419,381,0.52375,10175.172415418729,0.017517241541872952,-0.225593093258467,9,True
178,414,386,0.5175,9013.572493740417,-0.09864275062595829,-0.265309853568249,8,False
179,432,368,0.54,13944.993348534234,0.39449933485342337,-0.22795357742588784,6,True
180,395,405,0.49375,5686.520856474503,-0.4313479143525497,-0.44830355875300587,8,False
181,426,374,0.5325,12057.146180032641,0.20571461800326407,-0.3229696369539974,8,True
182,392,408,0.49,5287.613999734212,-0.4712386000265788,-0.49339767591147665,8,False
183,418,382,0.5225,9931.453482406292,-0.006854651759370833,-0.38206614732807787,10,False
184,414,386,0.5175,9013.572493740423,-0.09864275062595773,-0.4196213505991644,9,False
185,420,380,0.525,10424.872237171543,0.0424872237171543,-0.26693637103762724,10,True
186,435,365,0.54375,14997.028059125414,0.49970280591254146,-0.25968915925196523,9,True
187,426,374,0.5325,12057.146180032616,0.20571461800326163,-0.2321152126901782,8,True
188,402,398,0.5025,6738.285153617837,-0.3261714846382163,-0.3979225134802319,8,False
189,420,380,0.525,10424.872237171503,0.0424872237171503,-0.3479015742996685,6,True
190,421,379,0.52625,10680.699719315488,0.06806997193154873,-0.235986838993972,10,True
191,410,390,0.5125,8180.52355013691,-0.181947644986309,-0.3997921165135945,9,False
192,419,381,0.52375,10175.172415418701,0.017517241541870066,-0.2966321635089715,8,True
193,410,390,0.5125,8180.523550136917,-0.18194764498630833,-0.38065958526963506,8,False
194,418,382,0.5225,9931.453482406308,-0.006854651759369168,-0.483020927162941,9,False
195,422,378,0.5275,10942.805235293496,0.09428052352934957,-0.29461793617498255,8,True
196,427,373,0.53375,12353.029839698163,0.23530298396981641,-0.26132812027668473,6,True
197,422,378,0.5275,10942.805235293492,0.09428052352934913,-0.23852258699203532,8,True
198,428,372,0.535,12656.174516087676,0.2656174516087677,-0.2785724210747599,10,True
199,425,375,0.53125,11768.349618932667,0.17683496189326675,-0.2681041775776061,8,True
200,404,396,0.505,7073.059542446304,-0.2926940457553696,-0.4378236525822624,7,False
201,403,397,0.50375,6903.64339356551,-0.30963566064344894,-0.432805558073434,9,False
202,434,366,0.5425,14637.814521732284,0.4637814521732284,-0.19307111185449588,7,True
203,425,375,0.53125,11768.349618932667,0.17683496189326675,-0.2920360762874046,13,True
204,410,390,0.5125,8180.523550136919,-0.1819476449863081,-0.4366970953637259,6,False
205,418,382,0.5225,9931.453482406296,-0.006854651759370389,-0.23730758032617838,6,False
206,417,383,0.52125,9693.57218200426,-0.030642781799574026,-0.3330157237083762,8,False
207,428,372,0.535,12656.174516087696,0.2656174516087697,-0.23157706591771443,6,True
208,414,386,0.5175,9013.57249374044,-0.09864275062595607,-0.23221953468745338,8,False
209,441,359,0.55125,17345.187112238986,0.7345187112238987,-0.2540254642166023,9,True
210,426,374,0.5325,12057.146180032669,0.20571461800326696,-0.21707001606952225,10,True
211,398,402,0.4975,6115.521944821449,-0.38844780551785507,-0.45303593207690596,11,False
212,431,369,0.53875,13610.978477727698,0.36109784777276976,-0.31773647176173125,8,True
213,417,383,0.52125,9693.572182004284,-0.030642781799571694,-0.36621348058894887,7,False
214,434,366,0.5425,14637.814521732264,0.4637814521732264,-0.14069028938458705,5,True
215,415,385,0.51875,9234.76652890312,-0.07652334710968811,-0.32623872844011625,7,False
216,427,373,0.53375,12353.029839698136,0.23530298396981353,-0.2083455831392519,8,True
217,407,393,0.50875,7606.66353656468,-0.23933364634353205,-0.37284407048775436,12,False
218,414,386,0.5175,9013.572493740392,-0.09864275062596084,-0.28259979892178944,7,False
219,417,383,0.52125,9693.57218200427,-0.030642781799572916,-0.22624056515263402,6,False
220,405,395,0.50625,7246.633181780399,-0.27533668182196,-0.4901674391773786,14,False
221,427,373,0.53375,12353.029839698158,0.23530298396981575,-0.25055078364048866,7,True
222,405,395,0.50625,7246.633181780378,-0.27533668182196214,-0.4037696664017105,12,False
223,429,371,0.53625,12966.758395329949,0.2966758395329949,-0.21178504676129273,7,True
224,400,400,0.5,6419.3559433493465,-0.35806440566506537,-0.43453443405369696,8,False
225,409,391,0.51125,7984.5810746952775,-0.20154189253047228,-0.41683877425164606,10,False
226,452,348,0.565,22646.31768196136,1.264631768196136,-0.19830967758828255,8,True
227,402,398,0.5025,6738.285153617848,-0.3261714846382152,-0.37435339167629933,9,False
228,416,384,0.52,9461.388689398615,-0.05386113106013857,-0.5067711931209117,9,False
229,410,390,0.5125,8180.523550136895,-0.18194764498631044,-0.345832846293611,8,False
230,410,390,0.5125,8180.523550136923,-0.18194764498630767,-0.34365444543486734,9,False
